N;Класс_id;Класс;Спек_id;Специализация;Роль;Ресурс;Ресурс2;HP_героя;ATK_героя;DEF_героя;Speed_героя;Слот;skill_id;Название_RU;Название_EN;Иконка;type;type_RU;power;cost;gen;cost_sec;gen_sec;руны;gen_runic;cd_ходы;spellId_WoW;Описание_сейчас;Что_даёт_сейчас;NEW_power;NEW_cost;NEW_gen;NEW_cost_sec;NEW_gen_sec;NEW_cd;NEW_type;NEW_описание;Флаг;Комментарий
35;paladin;Паладин;holy;Свет;Целитель;Мана;Энергия Света;95;8;5;10;6;light_dawn;Свет зари;Light of Dawn;🌄;heal_aoe;heal_aoe;0.32;0;0;3;0;;0;2;85222;Расход 3 энергии Света — хил по области.;Тип: heal_aoe | Сила (power)=0.32 — интерпретация по type в движке боя | Ресурс: −3 Энергия Света | Перезарядка: 2 ход(а/ов);;;;;;;;;;Убрать описание, уменьшить расход энергии света до 2, увеличить исцеление до 34т
36;paladin;Паладин;holy;Свет;Целитель;Мана;Энергия Света;95;8;5;10;7;crusader;Удар воина Света;Crusader Strike;⚔️;damage;Урон (одна цель);0.9;5;0;0;1;;0;0;35395;+1 энергия Света.;Тип: Урон (одна цель) | Урон ≈ ATK × 0.9 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −5 Мана, +1 Энергия Света | Перезарядка: нет (0);;;;;;;;;;Убрать описание, уменьшить расход маны до 2, увеличть урон до 10т
37;paladin;Паладин;holy;Свет;Целитель;Мана;Энергия Света;95;8;5;10;8;divine_prot;Божественная защита;Divine Protection;🛡️;shield;Щит / поглощение;0.3;0;0;0;0;;0;4;498;Щит.;Тип: Щит / поглощение | Щит: сила поглощения связана с power=0.3 и HP/ATK героя | Перезарядка: 4 ход(а/ов);;;;;;;;;;Убрать описание, не тратит ход, щит повысить до 40т, КД 6
38;paladin;Паладин;holy;Свет;Целитель;Мана;Энергия Света;95;8;5;10;9;avenging;Гнев карателя;Avenging Wrath;😇;buff;Бафф (усиление);0.25;0;0;0;0;;0;5;31884;+атака (и хилы через силу).;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.25) — см. описание; длительность в бою по правилам type=buff | Перезарядка: 5 ход(а/ов)";;;;;;;;;;Убрать описание, не тратит ход, вместо повышения атаки повышает шанс крита на 30% на 4 хода, КД 7
39;paladin;Паладин;protection;Защита;Танк;Мана;Энергия Света;168;12;12;8;1;crusader;Удар воина Света;Crusader Strike;⚔️;damage;Урон (одна цель);1;5;0;0;1;;0;0;35395;+1 энергия Света.;Тип: Урон (одна цель) | Урон ≈ ATK × 1 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −5 Мана, +1 Энергия Света | Перезарядка: нет (0);;;;;;;;;;Убрать описание. Снизить расход маны до 2, повышает броню на 4% на 3 хода , максимум 2 стака, время действия обновляется при повторном применнии при максимальном каличестве стака
40;paladin;Паладин;protection;Защита;Танк;Мана;Энергия Света;168;12;12;8;2;judgment;Правосудие;Judgment;⚖️;damage;Урон (одна цель);46143;6;0;0;1;;0;1;20271;+1 энергия Света.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.05 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −6 Мана, +1 Энергия Света | Перезарядка: 1 ход(а/ов);;;;;;;;;;Убрать описание, снизить расход маны до 4, увеличть урон до 15т, убрать КД. накладывает на цель дебаф который повышает получаемый урон от светлой магии на 5% на 4 хода
41;paladin;Паладин;protection;Защита;Танк;Мана;Энергия Света;168;12;12;8;3;avengers;Щит мстителя;Avenger's Shield;🛡️;damage;Урон (одна цель);46054;8;0;0;0;;0;2;31935;Дальний удар щитом.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.2 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −8 Мана | Перезарядка: 2 ход(а/ов);;;;;;;;;;Убрать описание, уменьшить расход маны до 5, КД 1, Наносит АОЕ урон 13т и переходит на другие цели уменьшая эффективность урона на 5% с каждой новой целью, получает щит в 25% от нанеснного урона
42;paladin;Паладин;protection;Защита;Танк;Мана;Энергия Света;168;12;12;8;4;hot_r;Молот праведника;Hammer of the Righteous;🔨;aoe;Урон по области (все враги);0.7;5;0;0;1;;0;0;53595;По области + 1 энергия Света.;Тип: Урон по области (все враги) | Урон по каждому врагу ≈ ATK × 0.7 | Ресурс: −5 Мана, +1 Энергия Света | Перезарядка: нет (0);;;;;;;;;;Изменить расход маны на расход энергии света 3 ед, убрать описание, наносит СТ урон 43т
43;paladin;Паладин;protection;Защита;Танк;Мана;Энергия Света;168;12;12;8;5;sot_r;Щит праведника;Shield of the Righteous;🧱;shield;Щит / поглощение;0.42;0;0;3;0;;0;0;53600;Расход 3 энергии Света — щит.;Тип: Щит / поглощение | Щит: сила поглощения связана с power=0.42 и HP/ATK героя | Ресурс: −3 Энергия Света | Перезарядка: нет (0);;;;;;;;;;Убрать описание, убрать щит, после применения усиливает броню на 70% на 2 хода
44;paladin;Паладин;protection;Защита;Танк;Мана;Энергия Света;168;12;12;8;6;consecrate;Освящение;Consecration;☀️;aoe;Урон по области (все враги);0.7;10;0;0;0;;0;2;26573;Зональный урон.;Тип: Урон по области (все враги) | Урон по каждому врагу ≈ ATK × 0.7 | Ресурс: −10 Мана | Перезарядка: 2 ход(а/ов);;;;;;;;;;Снизить расход маны до 5, КД 5, накладывает на всех врагов доту наносящую по 3т урона каждый ход в течении 4 ходов
45;paladin;Паладин;protection;Защита;Танк;Мана;Энергия Света;168;12;12;8;7;hot_w;Молот гнева;Hammer of Wrath;⚡;damage;Урон (одна цель);46113;6;0;0;1;;0;0;24275;+1 энергия Света. Добивание ≤35%.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.4 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −6 Мана, +1 Энергия Света | Перезарядка: нет (0);;;;;;;;;;Убрать описание
46;paladin;Паладин;protection;Защита;Танк;Мана;Энергия Света;168;12;12;8;8;ardent;Ревностный защитник;Ardent Defender;❤️;buff;Бафф (усиление);0.2;0;0;0;0;;0;5;31850;+атака (упрощ. выживаемость).;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.2) — см. описание; длительность в бою по правилам type=buff | Перезарядка: 5 ход(а/ов)";;;;;;;;;;Убрать описание, не дает щит, уменьшает весь получаемый урон на 60% на 3 хода, КД 6
47;paladin;Паладин;protection;Защита;Танк;Мана;Энергия Света;168;12;12;8;9;taunt;Длань расплаты;Hand of Reckoning;📢;taunt;Провокация;0;0;0;0;0;;0;2;62124;Провокация.;Тип: Провокация | Сила (power)=0 — интерпретация по type в движке боя | Перезарядка: 2 ход(а/ов);;;;;;;;;;Убрать описание, не тратит ход
48;paladin;Паладин;retribution;Воздаяние;Боец (DPS);Мана;Энергия Света;105;17;5;11;1;crusader;Удар воина Света;Crusader Strike;⚔️;damage;Урон (одна цель);46023;5;0;0;1;;0;0;35395;+1 энергия Света.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.1 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −5 Мана, +1 Энергия Света | Перезарядка: нет (0);;;;;;;;;;Убрать описание, 
49;paladin;Паладин;retribution;Воздаяние;Боец (DPS);Мана;Энергия Света;105;17;5;11;2;judgment;Правосудие;Judgment;⚖️;damage;Урон (одна цель);46023;6;0;0;1;;0;1;20271;+1 энергия Света.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.1 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −6 Мана, +1 Энергия Света | Перезарядка: 1 ход(а/ов);;;;;;;;;;Убрать описание,  увеличить урон до 23т
50;paladin;Паладин;retribution;Воздаяние;Боец (DPS);Мана;Энергия Света;105;17;5;11;3;exorcism;Экзорцизм;Exorcism;👻;damage;Урон (одна цель);46054;8;0;0;1;;0;1;879;Дальний урон + 1 энергия Света.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.2 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −8 Мана, +1 Энергия Света | Перезарядка: 1 ход(а/ов);;;;;;;;;;удалить скилл
51;paladin;Паладин;retribution;Воздаяние;Боец (DPS);Мана;Энергия Света;105;17;5;11;4;templar;Вердикт храмовника;Templar's Verdict;⚖️;damage;Урон (одна цель);27395;0;0;3;0;;0;0;85256;Главный расход 3 энергии Света.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.75 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −3 Энергия Света | Перезарядка: нет (0);;;;;;;;;;Убрать описание, увеличить урон до 38т
52;paladin;Паладин;retribution;Воздаяние;Боец (DPS);Мана;Энергия Света;105;17;5;11;5;divine_storm;Божественная буря;Divine Storm;🌪️;aoe;Урон по области (все враги);1;0;0;3;0;;0;0;53385;Расход 3 — по области.;Тип: Урон по области (все враги) | Урон по каждому врагу ≈ ATK × 1 | Ресурс: −3 Энергия Света | Перезарядка: нет (0);;;;;;;;;;Убрать описание увеличть урон до 19т
53;paladin;Паладин;retribution;Воздаяние;Боец (DPS);Мана;Энергия Света;105;17;5;11;6;hot_w;Молот гнева;Hammer of Wrath;⚡;damage;Урон (одна цель);52963;6;0;0;1;;0;0;24275;+1 энергия Света. ≤35% HP.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.45 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −6 Мана, +1 Энергия Света | Перезарядка: нет (0);;;;;;;;;;Убрать описание
54;paladin;Паладин;retribution;Воздаяние;Боец (DPS);Мана;Энергия Света;105;17;5;11;7;inquisition;Инквизиция;Inquisition;📜;buff;Бафф (усиление);0.28;0;0;3;0;;0;1;84963;Расход 3 — +атака на 3 хода.;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.28) — см. описание; длительность в бою по правилам type=buff | Ресурс: −3 Энергия Света | Перезарядка: 1 ход(а/ов)";;;;;;;;;;Убрать описание, не требует ресурсов, не тратит ход, КД 4 , увеличвает атаку на 15% на 2 хода
55;paladin;Паладин;retribution;Воздаяние;Боец (DPS);Мана;Энергия Света;105;17;5;11;8;avenging;Гнев карателя;Avenging Wrath;😇;buff;Бафф (усиление);0.3;0;0;0;0;;0;5;31884;+атака на 3 хода.;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.3) — см. описание; длительность в бою по правилам type=buff | Перезарядка: 5 ход(а/ов)";;;;;;;;;;Убрать описание, не тратит ход, повышает крит на 30% на 3 хода, КД 5
56;paladin;Паладин;retribution;Воздаяние;Боец (DPS);Мана;Энергия Света;105;17;5;11;9;holy_avenger;Святой мститель;Holy Avenger;🔥;buff;Бафф (усиление);0.22;0;0;0;0;;0;5;105809;+атака (вместо фанатизма).;"Тип: Бафф (усиление) | Бафф: величина эффекта часто = power (0.22) — см. описание; длительность в бою по правилам type=buff | Перезарядка: 5 ход(а/ов)";;;;;;;;;;удалить скилл
57;hunter;Охотник;beast_mastery;Повелитель зверей;Боец (DPS);Концентрация;;100;16;3;12;1;kill_cmd;Команда «Взять!»;Kill Command;🐾;damage;Урон (одна цель);20090;35;0;0;0;;0;1;34026;Главный расход — питомец бьёт.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.55 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −35 Концентрация | Перезарядка: 1 ход(а/ов);;;;;;;;;;Пока без изм
58;hunter;Охотник;beast_mastery;Повелитель зверей;Боец (DPS);Концентрация;;100;16;3;12;2;cobra;Выстрел кобры;Cobra Shot;🐍;damage;Урон (одна цель);0.8;0;18;0;0;;0;0;77767;Генератор: +18 концентрации.;Тип: Урон (одна цель) | Урон ≈ ATK × 0.8 (модификаторы крита/мастерства/vers/баффы) | Ресурс: +18 Концентрация | Перезарядка: нет (0);;;;;;;;;;Пока без изм
59;hunter;Охотник;beast_mastery;Повелитель зверей;Боец (DPS);Концентрация;;100;16;3;12;3;arcane_shot;Чародейский выстрел;Arcane Shot;💜;damage;Урон (одна цель);45658;25;0;0;0;;0;0;3044;Расход 25 концентрации.;Тип: Урон (одна цель) | Урон ≈ ATK × 1.25 (модификаторы крита/мастерства/vers/баффы) | Ресурс: −25 Концентрация | Перезарядка: нет (0);;;;;;;;;;Пока без изм
